NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:1	319	304		
SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE19137:GPL1261:1	179	166		
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:2	253	241		
SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE19137:GPL1261:2	245	231		
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:3	365	344		
SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE19137:GPL1261:3	133	128		
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:4	275	261		
SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE19137:GPL1261:4	223	210		
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:5	290	271		
SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE19137:GPL1261:5	208	194		
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:6	347	323		
DOWN GENES MOUSE LUNG FROM GSE19137:GPL1261:6	151	145		
CORONAVIRUS PERTURBATION UP GENES CALU-3 2B4 FROM GSE45042:GPL6480:1	356	311		
CORONAVIRUS PERTURBATION DOWN GENES CALU-3 2B4 FROM GSE45042:GPL6480:1	142	120		
CORONAVIRUS PERTURBATION UP GENES CALU-3 2B4 FROM GSE45042:GPL6480:2	325	276		
CORONAVIRUS PERTURBATION DOWN GENES CALU-3 2B4 FROM GSE45042:GPL6480:2	173	136		
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:1	118	110		
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:1	380	356		
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:2	90	85		
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:2	408	384		
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:3	6		Rejected!	
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:3	492	464		
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:4	22	21		
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:4	476	447		
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:5	337	310		
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:5	161	127		
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:6	230	209		
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:6	268	246		
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:7	216	193		
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:7	282	256		
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:1	271	225		
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:1	227	148		
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:2	208	149		
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:2	290	262		
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:3	266	232		
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:3	232	203		
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:4	188	151		
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:4	310	248		
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:5	310	280		
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:5	188	170		
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:6	401	375		
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:6	97	89		
SARS PERTURBATION UP GENES PBMCS GDS1028:GPL201	279	265		
SARS PERTURBATION DOWN GENES PBMCS GDS1028:GPL201	219	209		
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:1	200	167		
SARS PERTURBATION DOWN GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:1	298	249		
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:2	235	208		
SARS PERTURBATION DOWN GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:2	263	227		
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:3	285	255		
SARS PERTURBATION DOWN GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:3	213	176		
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:4	387	350		
SARS PERTURBATION DOWN GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:4	111	97		
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:5	430	378		
SARS PERTURBATION DOWN GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:5	68	48		
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:6	385	343		
SARS PERTURBATION DOWN GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:6	113	83		
UP-REGULATED GENES FROM COVID-19 INFECTED BRONCHOALVEOLAR LAVAGE FROM PATIENTS	144	116		
DOWN-REGULATED GENES FROM COVID-19 INFECTED BRONCHOALVEOLAR LAVAGE FROM PATIENTS	383	369		
GR5VS GR 4	98	84		
CHLOROQUINE-7251 FROM OLD_CMAP_DOWN	99	85		
CHLOROQUINE-1719 FROM OLD_CMAP_DOWN	99	84		
CHLOROQUINE-2869 FROM OLD_CMAP_DOWN	99	83		
CHLOROQUINE-7012 FROM OLD_CMAP_DOWN	99	81		
UP-REGULATED GENES IN A549 INFECTED WITH COVID-19 EXTRACTED FROM GSE147507	499	482		
DOWN-REGULATED GENES IN A549 INFECTED WITH COVID-19 EXTRACTED FROM GSE147507	499	462		
HEALTHY LUNG BIOPSY VS. COVID-19 INFECTED LUNG SERIES 15 FROM GSE147507 UP GENES	499	461		
HEALTHY LUNG BIOPSY VS. COVID-19 INFECTED LUNG SERIES 15 FROM GSE147507 DOWN GENES	499	487		
MERS-COV 38 LITERATURE-ASSOCIATED GENES FROM GENESHOT GENERIF	37	36		
MERS-COV TOP 200 PREDICTED GENES FROM GENESHOT GENERIF VIA AUTORIF CO-OCCURRENCE GENE SIMILARITY	199	196		
MERS-COV 6 PREDICTED KINASES GENES FROM GENESHOT GENERIF VIA AUTORIF CO-OCCURRENCE GENE SIMILARITY	5		Rejected!	
GENES WHOSE EXPRESSION IS ALTERED BY MHV INFECTION	121	77		
GENES WHOSE EXPRESSION IS ALTERED BY SARS=COV-2 INFECTION	141	118		
DOWN-REGULATED BY MERS INFECTION OF CALU3 CELLS	499	470		
UP-REGULATED BY MERS INFECTION OF CALU3 CELLS	499	475		
UP-REGULATED BY SARS-COV-2 INFECTION OF CALU3 CELLS	499	478		
DOWN-REGULATED BY SARS-COV-2 INFECTION OF CALU3 CELLS	499	483		
DOWN-REGULATED BY MERS AND COVID-19 IN CALU3 FROM TWO SEPARATE STUDIES	60	60		
UP-REGULATED BY SARS-COV-2 IN LUNG TISSUE FROM GSE147507	499	461		
DOWN-REGULATED BY SARS-COV-2 IN LUNG TISSUE FROM GSE147507	499	487		
UP-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507	499	488		
DOWN-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507	499	473		
UP-REGULATED BY SARS-COV-2 0.2 MOI IN A549 FROM GSE147507	499	482		
DOWN-REGULATED BY SARS-COV-2 0.2 MOI IN A549 FROM GSE147507	499	462		
UP-REGULATED BY SARS-COV-2 2 MOI IN A549 FROM GSE147507	499	474		
DOWN-REGULATED BY SARS-COV-2 2 MOI IN A549 FROM GSE147507	499	491		
UP-REGULATED BY SARS-COV-2 2 MOI IN CALU-3 FROM GSE147507	499	478		
DOWN-REGULATED BY SARS-COV-2 2 MOI IN CALU-3 FROM GSE147507	499	483		
UP-REGULATED BY MERS-COV IN CALU-3 6HR FROM GSE139516	499	465		
DOWN-REGULATED BY MERS-COV IN CALU-3 6HR FROM GSE139516	499	471		
UP-REGULATED BY MERS-COV IN CALU-3 24HR FROM GSE139516	499	471		
DOWN-REGULATED BY MERS-COV IN CALU-3 24HR FROM GSE139516	499	477		
UP-REGULATED BY MERS-COV IN CALU-3 FROM GSE122876	499	478		
DOWN-REGULATED BY MERS-COV IN CALU-3 FROM GSE122876	499	476		
UP-REGULATED BY SARS-COV-1 IN CALU-3 4HR FROM GSE148729	498	409		
DOWN-REGULATED BY SARS-COV-1 IN CALU-3 4HR FROM GSE148729	497	417		
UP-REGULATED BY SARS-COV-1 IN CALU-3 FROM GSE148729	497	450		
DOWN-REGULATED BY SARS-COV-1 IN CALU-3 FROM GSE148729	498	464		
UP-REGULATED BY SARS-COV-2 IN CALU-3 4HR FROM GSE148729	498	402		
DOWN-REGULATED BY SARS-COV-2 IN CALU-3 4HR FROM GSE148729	498	431		
UP-REGULATED BY SARS-COV-2 IN CALU-3 24HR FROM GSE148729	498	439		
DOWN-REGULATED BY SARS-COV-2 IN CALU-3 24HR FROM GSE148729	499	483		
UP-REGULATED BY MHV-A59 IN MURINE LIVER 3D FROM GSE146074	499	417		
DOWN-REGULATED BY MHV-A59 IN MURINE LIVER 3D FROM GSE146074	499	412		
UP-REGULATED BY MHV-A59 IN MURINE LIVER 5D FROM GSE146074	499	393		
DOWN-REGULATED BY MHV-A59 IN MURINE LIVER 5D FROM GSE146074	499	411		
UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	499	419		
DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	499	434		
UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	499	379		
DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	499	447		
UP-REGULATED BY SARS-COV-2 0.2 MOI IN A549 TRANSDUCED WITH ACE2 VECTOR FROM GSE147507	499	473		
DOWN-REGULATED BY SARS-COV-2 0.2 MOI IN A549 TRANSDUCED WITH ACE2 VECTOR FROM GSE147507	499	489		
UP-REGULATED BY SARS-COV-2 2 MOI IN A549 TRANSDUCED WITH ACE2 VECTOR FROM GSE147507	499	474		
DOWN-REGULATED BY SARS-COV-2 2 MOI IN A549 TRANSDUCED WITH ACE2 VECTOR FROM GSE147507	499	490		
UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	388	368		
DOWN-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	419	408		
UP-REGULATED BY SARS-COV-2 IN FERRET TRACHEA FROM GSE147507	435	423		
DOWN-REGULATED BY SARS-COV-2 IN FERRET TRACHEA FROM GSE147507	433	428		
UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 24HR DIFFERENTIATION FROM GSE149312	499	463		
DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 24HR DIFFERENTIATION  FROM GSE149312	499	462		
UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 24HR EXPANSION FROM GSE149312	499	460		
DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 24HR EXPANSION FROM GSE149312	499	465		
UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR DIFFERENTIATION FROM GSE149312	499	445		
DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR DIFFERENTIATION  FROM GSE149312	499	457		
UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR EXPENSION FROM GSE149312	499	463		
DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR EXPENSION FROM GSE149312	499	462		
UP-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 24HR FROM GSE149312	499	459		
DOWN-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 24HR FROM GSE149312	499	458		
UP-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 60HR FROM GSE149312	499	457		
DOWN-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 60HR FROM GSE149312	499	465		
GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	26	26		
UP-REGULATED BY CYSTINE AND THEANINE IN IAV-INFECTED MOUSE SPLEEN	659		Rejected!	
DOWN-REGULATED BY CYSTINE AND THEANINE IN IAV-INFECTED MOUSE SPLEEN	629		Rejected!	
UP-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	522	422		
DOWN-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	454	382		
UP-REGULATED DUE TO SARS-COV-2 INFECTION FROM A PHOSPHOPROTEOMICS STUDY	11		Rejected!	
UP-REGULATED BY SARS-COV-2 INFECTION IN VERO E6 FROM GSE153940	449	416		
DOWN-REGULATED BY SARS-COV-2 INFECTION IN VERO E6 FROM GSE153940	446	437		
UP-REGULATED BY SARS-COV-2 IN CARDIOMYOCYTES FROM GSE150392	499	452		
DOWN-REGULATED BY SARS-COV-2 IN CARDIOMYOCYTES FROM GSE150392	498	407		
UP-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TERFENADINE FROM GSE154613	499	426		
DOWN-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TERFENADINE FROM GSE154613	499	447		
UP-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TRIFLUOPERAZINE FROM GSE154613	499	470		
DOWN-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TRIFLUOPERAZINE FROM GSE154613	499	460		
UP-REGULATED BY SARS-COV-2 IN PANCREATIC ORGANOIDS FROM GSE151803	499	443		
DOWN-REGULATED BY SARS-COV-2 IN PANCREATIC ORGANOIDS FROM GSE151803	499	442		
UP-REGULATED BY SARS-COV-2 IN LIVER ORGANOIDS FROM GSE151803	499	444		
DOWN-REGULATED BY SARS-COV-2 IN LIVER ORGANOIDS FROM GSE151803	499	423		
UP-REGULATED BY SARS-COV-2 IN MOUSE LUNG TISSUE FROM GSE150847	499	277		
DOWN-REGULATED BY SARS-COV-2 IN MOUSE LUNG TISSUE FROM GSE150847	499	349		
